member
architekt
architect
naukowiec
scientist
biolog
biologist
informatyk
computer scientist
ekonomista
economist
historyk
historian
matematyk
mathematician
filolog
philologist
fizyk
physicist
socjolog
sociologist
inżynier
engineer
inżynier budowlany
konstruktor
structural engineer
lekarz
doctor
physician
dentysta
dentist
ginekolog
gynaecologist
położnik
obstetrician
okulista
ophthalmologist
ortopeda
orthopaedist
pediatra
paediatrician
chirurg
surgeon
weterynarz
veterinarian
pielęgniarka
nurse
farmaceuta
pharmacist
nauczyciel
teacher
dyrektor
szkoły
headmaster
principal
wykładowca
lecturer
nauczyciel
akademicki
professor
prawnik
adwokat
lawyer
attorney
sędzia
judge
prokurator
prosecutor
doradca prawny
solicitor
artysta
artist
malarz
painter
rzeźbiarz
sculptor
projektant
designer
muzyk
musician
kompozytor
composer
dyrygent
conductor
śpiewak
piosenkarz
singer
pianista
pianist
skrzypek
violinist
aktor
aktorka
actor
actress
reżyser
director
pisarz
writer
powieściopisarz
novelist
poeta
poet
dramatopisarz
playwright
dziennikarz
journalist
księgowy
accountant
bookkeeper
urzędnik
clerk
pracownik
biurowy
office
worker
reprezentant
handlowy
sales representative
sekretarz
secretary
kasjer
cashier
strażak
fireman
firefighter
policjant
policeman
administrator
zarządca
administrator
astrolog
astrologer
aktuariusz
actuary
listonosz
mailman
marynarz
sailor
ogrodnik
gardener
grabarz
gravedigger
pilot
pilot
agronom
agronomist
wynalazca
inventor
modelka
model
anestezjolog
anesthesiologist
szpieg
spy
tłumacz
translator
interpreter
fotograf
photographer
antropolog
anthropologist
kierowca
driver
motorniczy
tram driver
polityk
politician
maszynista
engine driver
archeolog
archaeologist
kolejarz
railwayman
astronom
astronomer
rzemieślnik
craftsman
fryzjer
hairdresser
programista
programmer
software designer
astrofizyk
astrophysicist
krawiec
tailor
dressmaker
szewc
shoemaker
zegarmistrz
watchmaker
stolarz
carpenter
joiner
introligator
bookbinder
rewident księgowy
auditor
kominiarz
chimney sweep
lotnik
aviator
górnik
miner
mechanik
mechanic
murarz
bricklayer
tynkarz
plasterer
bibliotekarz
librarian
astronauta
astronaut
terakociarz
tiler
szklarz
glazier
stewardesa
flight attendant
elektryk
electrician
spawacz
welder
tokarz
turner
ślusarz
locksmith
ślusarz
toolmaker
dozorca
janitor
caretaker
portier
doorman
sprzątaczka
pokojówka
maid
rolnik
farmer
kosmetyczka
beautician
beauty therapist
realizator dźwięku
sound engineer
piekarz
baker
adwokat
barrister
urzędnik państwowy
civil servant
robotnik budowlany
construction worker
psycholog
psychologist
counsellor
pracownik obsługi klienta
customer service advisor
śmieciarz
dustman
refuse collector
trener
coach
agent ubezpieczeniowy
insurance agent
ubezpieczyciel
insurer
grafik
graphic designer
projektant gier komputerowych
games designer
projektant wnętrz
interior designer
kurator muzeum
museum curator
hydraulik
plumber
ksiądz
priest
przedstawiciel handlowy
sales rep
sales representative
makler giełdowy
stockbroker
technik
technician
przedsiębiorca pogrzebowy
undertaker
projektant stron internetowych
web designer
website designer
kelner
waiter
